miRNA,182_S25_R1_001,112_S27_R1_001,15-7p150_S32_R1_001,192_S22_R1_001,15-1p16_S33_R1_001,121_S24_R1_001,153_S15_R1_001,124_S16_R1_001,166_S4_R1_001,059_S13_R1_001,167_S23_R1_001,149_S3_R1_001,093_S6_R1_001,144_S5_R1_001,062_S19_R1_001,179_S26_R1_001,138_S30_R1_001,033_S21_R1_001,6c_S47_R1_001,123_S20_R1_001,1c_S43_R1_001,29-7p16_S41_R1_001,Undetermined_S0_R1_001,197_S2_R1_001,15-7p16_S31_R1_001,29-1p16_S39_R1_001,17-7p150_S38_R1_001,109_S9_R1_001,187_S10_R1_001,105_S1_R1_001,15-1p150_S34_R1_001,29-7p150_S42_R1_001,17-1p150_S36_R1_001,17-7p16_S37_R1_001,127_S29_R1_001,164_S14_R1_001,075_S12_R1_001,135_S7_R1_001,17-1p16_S35_R1_001,019_S18_R1_001,125_S11_R1_001,106_S28_R1_001,7c_S44_R1_001,32c_S45_R1_001,29-1p150_S40_R1_001,4c_S46_R1_001,103_S17_R1_001,34c_S48_R1_001,128_S8_R1_001
hsa-let-7a-2-3p,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,1679.0,202.0,15.0,264.0,72.0,92.0,160.0,213.0,289.0,261.0,19.0,423.0,139.0,132.0,470.0,398.0,691.0,246.0,303.0,273.0,255.0,0.0,190.0,39.0,176.0,8.0,78.0,207.0,150.0,151.0,237.0,0.0,86.0,56.0,0.0,276.0,0.0,257.0,62.0,58.0,447.0,5.0,397.0,47.0,19.0,0.0,200.0,12.0,236.0
hsa-let-7a-5p/7c-5p,45963.0,85168.0,18202.0,140333.0,44111.0,143091.0,50499.0,80045.0,61240.0,185273.0,90917.0,93953.0,42780.0,44676.0,155180.0,105957.0,53985.0,105140.0,327721.0,99114.0,153899.0,8992.0,71994.0,96399.0,83965.0,4567.0,6398.0,140091.0,73040.0,70803.0,30241.0,6154.0,10705.0,57272.0,13235.0,82364.0,13690.0,127638.0,31702.0,69364.0,108998.0,17338.0,530104.0,59386.0,4289.0,2477.0,60959.0,1147302.0,142998.0
hsa-let-7b-3p,1212.0,111.0,0.0,165.0,0.0,37.0,96.0,140.0,116.0,46.0,43.0,74.0,92.0,107.0,217.0,230.0,179.0,209.0,193.0,146.0,212.0,0.0,113.0,0.0,0.0,0.0,230.0,76.0,201.0,136.0,519.0,7.0,98.0,67.0,0.0,131.0,0.0,110.0,115.0,18.0,152.0,3.0,577.0,245.0,17.0,0.0,136.0,75.0,57.0
hsa-let-7b-5p,14348.0,34271.0,1948.0,37892.0,3690.0,53272.0,9621.0,18048.0,10461.0,30357.0,38677.0,7922.0,6426.0,13828.0,35666.0,19112.0,16421.0,25588.0,65413.0,31399.0,47327.0,1040.0,15004.0,26765.0,1940.0,662.0,1351.0,21797.0,11771.0,16746.0,4884.0,964.0,1664.0,4527.0,5866.0,8238.0,9146.0,19229.0,2621.0,18432.0,8588.0,8843.0,78796.0,21094.0,663.0,1598.0,12270.0,277443.0,26730.0
hsa-let-7c-3p,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7d-3p,10668.0,4215.0,2276.0,3190.0,1472.0,2834.0,1830.0,2120.0,2155.0,2700.0,2677.0,2693.0,2064.0,1456.0,6177.0,7248.0,3115.0,3857.0,1661.0,3862.0,539.0,331.0,1932.0,2002.0,803.0,108.0,2964.0,2403.0,5358.0,1916.0,6414.0,830.0,2926.0,1533.0,447.0,2645.0,228.0,2649.0,733.0,1296.0,2701.0,27.0,1299.0,568.0,425.0,7.0,2023.0,1941.0,3623.0
hsa-let-7d-5p,2454.0,6977.0,1162.0,9225.0,2503.0,6677.0,4682.0,8810.0,4646.0,10480.0,4186.0,6303.0,2977.0,3225.0,11412.0,7215.0,7521.0,6393.0,12936.0,6221.0,5037.0,655.0,4044.0,4424.0,4221.0,307.0,401.0,7986.0,3792.0,3678.0,2177.0,354.0,635.0,3850.0,555.0,3760.0,43.0,8013.0,1712.0,4313.0,5242.0,69.0,15010.0,2044.0,319.0,158.0,6156.0,41725.0,7347.0
hsa-let-7e-3p,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,0.0,82.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,12.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,26.0,0.0,0.0,51.0,5.0,0.0,0.0,16.0,16.0,0.0
hsa-let-7e-5p,556.0,1551.0,385.0,5941.0,5231.0,5497.0,1159.0,1279.0,1337.0,4062.0,3665.0,1667.0,2528.0,2201.0,7715.0,6008.0,1198.0,2680.0,22045.0,2078.0,3875.0,721.0,2028.0,3861.0,6621.0,395.0,334.0,1503.0,2018.0,3547.0,1937.0,423.0,1129.0,5979.0,1116.0,2240.0,1318.0,1673.0,3656.0,2260.0,2514.0,30.0,10488.0,427.0,81.0,89.0,2238.0,5693.0,2580.0
hsa-let-7f-1-3p,171.0,21.0,0.0,41.0,9.0,0.0,30.0,16.0,18.0,0.0,0.0,0.0,42.0,14.0,59.0,70.0,86.0,52.0,40.0,37.0,55.0,0.0,19.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,61.0,0.0,4.0,29.0,0.0,22.0,0.0,28.0,0.0,0.0,30.0,0.0,149.0,37.0,3.0,0.0,40.0,9.0,31.0
hsa-let-7f-2-3p,1271.0,72.0,222.0,64.0,49.0,0.0,126.0,103.0,98.0,66.0,0.0,78.0,98.0,72.0,230.0,200.0,164.0,121.0,50.0,116.0,31.0,0.0,82.0,0.0,0.0,0.0,0.0,96.0,0.0,45.0,118.0,0.0,0.0,90.0,0.0,92.0,0.0,84.0,0.0,22.0,161.0,0.0,0.0,0.0,8.0,0.0,98.0,0.0,67.0
hsa-let-7f-5p,71082.0,144482.0,38044.0,224179.0,101354.0,194345.0,107696.0,203172.0,106593.0,333145.0,111893.0,198810.0,80468.0,82788.0,377832.0,209388.0,118713.0,180016.0,307885.0,145805.0,192380.0,19472.0,113973.0,156186.0,258888.0,9217.0,10368.0,282570.0,123443.0,151846.0,47874.0,11659.0,15955.0,151458.0,17090.0,138248.0,9365.0,293318.0,65445.0,146171.0,264924.0,15417.0,598225.0,29024.0,6316.0,6534.0,143873.0,1094590.0,275449.0
hsa-let-7g-3p,165.0,88.0,0.0,96.0,0.0,9.0,36.0,15.0,59.0,54.0,65.0,38.0,20.0,19.0,89.0,93.0,83.0,58.0,68.0,101.0,52.0,3.0,27.0,19.0,0.0,0.0,11.0,72.0,0.0,15.0,35.0,17.0,7.0,0.0,0.0,38.0,0.0,57.0,0.0,0.0,84.0,0.0,78.0,2.0,35.0,0.0,43.0,19.0,53.0
hsa-let-7g-5p,26599.0,67162.0,4853.0,48876.0,7128.0,59918.0,26256.0,61142.0,22944.0,60474.0,37235.0,20782.0,13217.0,15484.0,37356.0,25178.0,45750.0,26125.0,77328.0,30507.0,31246.0,1474.0,23487.0,44175.0,14255.0,767.0,1220.0,61355.0,21892.0,31153.0,7659.0,1286.0,2149.0,8338.0,8740.0,18724.0,5290.0,61033.0,4664.0,37706.0,20773.0,3834.0,97253.0,8173.0,757.0,520.0,38414.0,333738.0,56427.0
hsa-let-7i-3p,280.0,499.0,4.0,731.0,18.0,481.0,280.0,318.0,313.0,612.0,569.0,571.0,259.0,233.0,695.0,407.0,632.0,913.0,233.0,712.0,251.0,0.0,277.0,234.0,0.0,0.0,109.0,364.0,267.0,166.0,354.0,57.0,44.0,152.0,45.0,305.0,0.0,221.0,31.0,236.0,749.0,0.0,421.0,15.0,28.0,0.0,286.0,930.0,257.0
hsa-let-7i-5p,51036.0,198400.0,34932.0,196386.0,11390.0,182825.0,169862.0,210404.0,149647.0,310918.0,154088.0,165336.0,129472.0,117085.0,241278.0,139757.0,188542.0,161764.0,90580.0,174523.0,66571.0,4968.0,90018.0,174289.0,61262.0,1857.0,6374.0,275589.0,101321.0,129759.0,32372.0,6903.0,6030.0,18112.0,23016.0,140967.0,36653.0,220291.0,9664.0,176312.0,208485.0,30106.0,129871.0,2985.0,5639.0,3863.0,154625.0,334147.0,266500.0
hsa-miR-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,12.0,0.0
hsa-miR-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,16841.0,830.0,145.0,1002.0,49.0,1294.0,313.0,244.0,239.0,572.0,505.0,555.0,726.0,585.0,665.0,645.0,667.0,1105.0,9660.0,1923.0,5919.0,15.0,1173.0,720.0,10.0,2.0,226.0,641.0,617.0,581.0,1257.0,56.0,125.0,148.0,490.0,292.0,71.0,135.0,56.0,495.0,217.0,17.0,25301.0,886.0,18.0,92.0,758.0,1482.0,374.0
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,324079.0,462865.0,67007.0,273169.0,10475.0,269019.0,308357.0,446833.0,275454.0,479919.0,342230.0,250501.0,285255.0,262255.0,291104.0,215147.0,404996.0,247195.0,50051.0,257749.0,36591.0,3658.0,157527.0,330281.0,38644.0,1553.0,10004.0,561873.0,179933.0,235918.0,57763.0,4743.0,7674.0,12018.0,36405.0,267202.0,79870.0,367105.0,7945.0,260739.0,254090.0,33368.0,62424.0,3118.0,4193.0,1122.0,337244.0,28800.0,570969.0
hsa-miR-101-5p,293.0,400.0,148.0,444.0,36.0,170.0,117.0,277.0,296.0,261.0,203.0,99.0,185.0,219.0,439.0,338.0,488.0,375.0,107.0,326.0,84.0,0.0,138.0,230.0,2.0,8.0,26.0,459.0,96.0,108.0,86.0,0.0,0.0,52.0,41.0,188.0,0.0,248.0,17.0,97.0,315.0,0.0,153.0,5.0,21.0,0.0,297.0,45.0,320.0
hsa-miR-10226,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,11.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10392-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,26.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p/10396b-3p,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,7.0,0.0
hsa-miR-10396a-5p/10396b-5p,15.0,4.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,8.0,14.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10397-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10397-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,163.0,327.0,0.0,222.0,13.0,272.0,185.0,258.0,238.0,0.0,944.0,211.0,212.0,158.0,230.0,250.0,263.0,95.0,50.0,0.0,52.0,0.0,163.0,446.0,0.0,0.0,6.0,214.0,729.0,278.0,0.0,22.0,0.0,0.0,0.0,159.0,396.0,329.0,0.0,212.0,284.0,0.0,87.0,11.0,0.0,0.0,0.0,126.0,220.0
hsa-miR-10399-5p,108.0,197.0,0.0,128.0,0.0,98.0,201.0,133.0,129.0,143.0,132.0,123.0,73.0,91.0,225.0,161.0,267.0,156.0,4.0,234.0,33.0,0.0,90.0,42.0,0.0,0.0,33.0,189.0,458.0,119.0,55.0,21.0,14.0,52.0,28.0,158.0,50.0,189.0,17.0,81.0,140.0,0.0,65.0,0.0,0.0,0.0,51.0,19.0,71.0
hsa-miR-103a-1-5p/103a-2-5p,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0,16.0,6.0,8.0,14.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,26.0,6.0,0.0,0.0,7.0,26.0,3.0
hsa-miR-103a-3p/107,133631.0,335294.0,118845.0,307776.0,6833.0,271670.0,255087.0,359007.0,376210.0,555340.0,241210.0,344918.0,316245.0,333672.0,304162.0,279350.0,300004.0,379373.0,47647.0,324534.0,32994.0,2862.0,204639.0,302360.0,31774.0,1208.0,17063.0,470575.0,305927.0,179127.0,66426.0,4900.0,9028.0,7782.0,28089.0,324810.0,15952.0,220268.0,5036.0,254426.0,564942.0,14620.0,70140.0,4480.0,5461.0,2497.0,347567.0,121990.0,473651.0
hsa-miR-103b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10400-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10400-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0
hsa-miR-10401-3p,16.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,32.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,13.0,10.0,25.0,0.0,17.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,34.0,26.0,0.0,0.0,0.0,38.0,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10522-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10523-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10524-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10525-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,54.0,0.0,29.0,0.0,40.0,28.0,25.0,25.0,69.0,69.0,30.0,9.0,10.0,186.0,26.0,54.0,40.0,31.0,14.0,17.0,0.0,13.0,27.0,0.0,9.0,14.0,55.0,14.0,16.0,50.0,0.0,0.0,94.0,0.0,0.0,0.0,50.0,24.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,47.0,76.0
hsa-miR-106a-3p,11.0,21.0,0.0,0.0,0.0,0.0,51.0,18.0,8.0,23.0,86.0,28.0,24.0,2.0,59.0,26.0,31.0,48.0,6.0,69.0,11.0,0.0,17.0,66.0,0.0,0.0,26.0,32.0,15.0,0.0,16.0,0.0,0.0,0.0,0.0,17.0,0.0,36.0,0.0,16.0,52.0,0.0,8.0,0.0,6.0,0.0,39.0,0.0,21.0
hsa-miR-106a-5p/17-5p,750.0,3883.0,408.0,2623.0,369.0,2595.0,1628.0,3496.0,1377.0,2941.0,1392.0,774.0,813.0,1142.0,2865.0,1987.0,5693.0,1477.0,2567.0,2440.0,2052.0,131.0,1052.0,1493.0,1339.0,51.0,141.0,2439.0,781.0,1548.0,981.0,115.0,120.0,524.0,195.0,812.0,8.0,2809.0,240.0,1062.0,462.0,8.0,4139.0,123.0,25.0,5.0,1779.0,5332.0,2410.0
hsa-miR-106b-3p,5246.0,34102.0,4414.0,20262.0,724.0,24947.0,24151.0,32495.0,13970.0,33581.0,40740.0,11046.0,17356.0,16990.0,22044.0,11686.0,29086.0,10988.0,7295.0,16910.0,6641.0,353.0,11062.0,32103.0,2570.0,129.0,506.0,33519.0,14380.0,19561.0,2787.0,276.0,438.0,1085.0,5573.0,12574.0,27649.0,27645.0,563.0,30854.0,10890.0,19546.0,9389.0,546.0,274.0,1158.0,19948.0,30682.0,36860.0
hsa-miR-106b-5p,1847.0,13753.0,1176.0,8068.0,490.0,7563.0,5822.0,9156.0,4300.0,9012.0,6695.0,4002.0,3165.0,3742.0,7266.0,5683.0,13803.0,6003.0,2773.0,7940.0,2722.0,251.0,3165.0,5456.0,498.0,79.0,546.0,8320.0,4203.0,4021.0,2588.0,474.0,359.0,586.0,1150.0,3622.0,412.0,6433.0,264.0,4186.0,1977.0,38.0,4172.0,114.0,304.0,10.0,7077.0,4247.0,7368.0
hsa-miR-10a-3p,13.0,17.0,0.0,16.0,0.0,52.0,12.0,9.0,20.0,23.0,0.0,7.0,9.0,36.0,11.0,17.0,26.0,14.0,29.0,62.0,50.0,0.0,12.0,0.0,0.0,0.0,30.0,7.0,24.0,23.0,26.0,0.0,41.0,0.0,0.0,13.0,0.0,12.0,17.0,9.0,29.0,0.0,92.0,0.0,5.0,0.0,31.0,4.0,3.0
